,0
cancelled,0.10344996858168481
delayed,0.10332839562995451
service,0.0676545194041281
customer,0.01710666489117701
flightled,0.0046948595582732575
amp,0.00028765519246091303
usairways,-0.0006013029532263396
hours,-0.0017356600881971124
flights,-0.0037693220243455337
plane,-0.009132713108186717
jetblue,-0.011256189991736092
http,-0.014555941559866723
flight,-0.016411635394972826
americanair,-0.016434667336623607
united,-0.02038044020008362
southwestair,-0.022426301110683257
help,-0.022803955118772982
time,-0.022929340784500422
just,-0.02328538471342976
hold,-0.04845683444532385
